IDENTIFIKATOR_KLIJENTA,period,dob,tenure_years,n_core_products,has_kredit,has_deposit,prima_placu,avg_txn_per_month,txn_amount_std,months_active,txn_trend,avg_balance,balance_trend,balance_min,has_contact,n_contacts,churned
7J5NY8C8WL4A,P1,63,9.193702943189596,6,1,1,1,65.0,186.0223867457484,9.0,0.9166666666666666,-1202.4713250517598,0.0,-14493.45,1,15.0,0
0PTNII7VJ6EG,P1,70,24.84052019164956,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
4HVU114E9A50,P1,63,18.60095824777549,0,0,0,0,3.0,59.66179685279101,9.0,0.0166666666666666,0.0,0.0,0.0,0,0.0,0
1ZX4XRSEWBLY,P1,65,4.290212183436003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
QK8RU30C6ZZQ,P1,62,12.35318275154004,3,1,0,0,6.444444444444445,228.5286286431043,9.0,-0.7833333333333333,-783.6866292134831,293.1346666666667,-1884.34,1,1.0,0
EAX52WACNYIB,P1,60,3.5811088295687883,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ZP6J4NS6O169,P1,20,9.505817932922657,2,0,0,0,0.0,0.0,0.0,0.0,7.87,0.0,7.87,0,0.0,0
RM23VDSN3W4E,P1,56,0.6735112936344969,1,0,0,0,2.0,73.91387183742981,1.0,0.0,0.0,0.0,0.0,0,0.0,0
3H3YBI167XHJ,P1,65,8.186173853524982,0,0,0,0,1.375,125.04544628399564,8.0,-0.0977443609022556,0.0,0.0,0.0,0,0.0,0
0UXQ0EX5S6DQ,P1,68,14.387405886379192,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
FEOAOEN07RMA,P1,69,26.77344284736482,4,1,1,1,9.444444444444445,223.26599053262763,9.0,-0.2333333333333333,1546.342142857143,63.33283333333336,-4840.09,0,0.0,0
DA03WFSH2BUQ,P1,41,7.132101300479124,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
7IWL8UDU5P2R,P1,12,9.478439425051334,2,0,0,0,1.5,560.6071113831266,2.0,-1.0,334.75076923076927,-109.95741666666666,29.0,0,0.0,0
P1WQ21T5EMUF,P1,60,8.950034223134839,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
7Q9PEBOHDZSP,P1,25,9.42094455852156,2,0,0,0,25.55555555555556,157.76685033573008,9.0,-1.35,354.9457333333333,-21.44025,-63.76,1,6.0,0
OQ2502SFY7HT,P1,67,18.924024640657084,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
LAMVD7WE32VM,P1,53,29.16084873374401,0,0,0,0,2.0,98.99494936611666,1.0,0.0,0.0,0.0,0.0,0,0.0,0
3ZH7IJIQOF6Z,P1,42,17.05407255304586,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
OWCYQF166C2G,P1,33,1.8617385352498288,0,0,0,0,2.0,77.45966692414834,5.0,-0.1,0.0,0.0,0.0,0,0.0,0
E279LFD4ZVA5,P1,52,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
M7XTZ7S13XNB,P1,61,19.310061601642712,1,0,0,0,1.4285714285714286,20.23045449041837,7.0,-0.1485507246376811,-1.6749999999999998,-1.7066071428571428,-10.79,0,0.0,0
RNVIZ7FCC4XS,P1,65,18.976043805612598,5,0,1,0,2.0,48.15868682836947,7.0,0.1804123711340206,135.0335294117647,17.644000000000002,0.0,0,0.0,0
XPTD22F1HCSC,P1,64,26.001368925393567,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LOZS3GG5YZ6U,P1,68,18.340862422997947,4,1,0,1,13.77777777777778,166.50206126494257,9.0,-0.25,-18.02505208333332,36.00466666666667,-8488.78,0,0.0,0
6YOC3U9PCVM5,P1,73,16.684462696783026,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SSP5U6XQN0V8,P1,83,25.94113620807666,2,0,0,0,16.88888888888889,175.6272926816361,9.0,0.55,4741.497960199004,95.01075000000006,0.0,0,0.0,0
KAK8R6ZY32IJ,P1,45,13.259411362080767,3,0,1,0,1.0,0.0,1.0,0.0,1090.9930769230768,-44.275333333333336,0.0,0,0.0,0
BJ8YVHZXTBZ2,P1,47,9.336071184120463,2,0,0,1,50.44444444444444,107.95961136691724,9.0,2.4166666666666665,-269.2018636363636,22.126249999999995,-590.73,0,0.0,0
C0RV5JBSNDT3,P1,58,25.31143052703628,4,0,0,1,4.555555555555555,75.76195579238833,9.0,-0.1833333333333333,173.45591549295776,10.065666666666669,3.74,0,0.0,0
MRRW4X9L1IAM,P1,66,10.132785763175908,0,0,0,0,4.833333333333333,66.54421601628255,6.0,-0.2571428571428572,0.0,0.0,0.0,0,0.0,0
6X1XL6MOQG97,P1,35,0.9883641341546886,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3HQQWG7H3IPO,P1,50,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GEKV5JM6QPBD,P1,80,20.10130047912389,2,0,0,0,10.333333333333334,177.00381733515107,9.0,-0.95,314.35699115044247,27.585833333333333,0.17,0,0.0,0
GA7JZPY6T77G,P1,69,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
54TAZUK90D8M,P1,57,9.201916495550991,0,0,0,0,8.666666666666666,108.31737436238583,9.0,0.1166666666666666,0.0,0.0,0.0,0,0.0,0
T3XY3B21ZPZ9,P1,61,24.36139630390144,9,1,0,0,14.0,292.9806990376074,9.0,0.0,-1664.1226946107784,0.0,-16918.77,0,0.0,0
CNPM2V00Z5AC,P1,80,18.924024640657084,0,0,0,0,1.5,0.0,2.0,-0.1666666666666666,0.0,0.0,0.0,0,0.0,0
QH922GVDUW43,P1,74,18.924024640657084,0,0,0,0,3.888888888888889,119.9465708261023,9.0,0.0666666666666666,0.0,0.0,0.0,0,0.0,0
0FVF2HO5TWCS,P1,72,9.541409993155373,2,0,0,1,3.888888888888889,121.42012775151112,9.0,0.1833333333333333,-95.54328571428572,58.92100000000001,-581.12,0,0.0,0
9RZ95GOPN53B,P1,85,19.066392881587955,2,0,0,1,25.88888888888889,928.0799012005588,9.0,-1.1666666666666667,1666.301443298969,-435.6625000000001,0.0,1,1.0,0
2VYS8IKRP3HS,P1,70,26.77344284736482,2,0,1,1,4.5,26263.82761516208,2.0,-0.3333333333333333,23274.836071428574,-1249.976583333333,0.0,1,2.0,0
EP3EKG9CU6C4,P1,73,10.819986310746064,2,0,0,1,2.4285714285714284,914.294352233314,7.0,-0.0384615384615384,2836.115,132.1726666666667,1289.38,0,0.0,0
YBA5LKCRL7XF,P1,53,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
V2N6OVIF6X4T,P1,55,18.924024640657084,0,0,0,0,5.285714285714286,135.69106849243474,7.0,-0.3009708737864077,0.0,0.0,0.0,0,0.0,0
EYQPGTZ2QE6H,P1,61,0.4709103353867214,2,0,1,0,2.5,4456.860288140071,2.0,0.3333333333333333,4722.060588235294,-134.99857142857132,0.0,0,0.0,0
60GT27O06GSJ,P1,70,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BJV6E8S8JQOK,P1,98,28.511978097193705,2,0,0,1,2.0,338.3531682783345,9.0,-0.0666666666666666,373.360625,-47.04391666666667,4.01,0,0.0,0
RZ2TLDT5NFYL,P1,38,16.542094455852155,5,1,0,1,41.77777777777778,177.91367455814105,9.0,1.8833333333333333,-2457.195,37.01716666666668,-16678.94,0,0.0,0
VBMW43CCBU6T,P1,83,9.44832306639288,2,0,0,1,4.222222222222222,339.59058389151625,9.0,0.0333333333333333,3161.739519230769,63.60558333333331,2180.82,0,0.0,0
OYI4MBKA82UK,P1,74,9.56331279945243,2,0,0,1,2.125,180.01903845598568,8.0,0.0325814536340852,406.2732258064516,-14.649833333333332,39.14,0,0.0,0
2MSSDYIBLOGG,P1,41,1.990417522245037,0,0,0,0,3.0,85.80040560868215,6.0,-0.023076923076923,0.0,0.0,0.0,0,0.0,0
REUQIP7XPZ1C,P1,55,16.49828884325804,2,0,0,0,1.0,0.0,7.0,0.0,39.915,-1.8900000000000008,31.41,0,0.0,0
KU6XH6POW1WB,P1,32,1.6646132785763177,0,0,0,0,5.222222222222222,23.67886139113869,9.0,-0.2333333333333332,0.0,0.0,0.0,0,0.0,0
EF191HVTP6WC,P1,81,9.253935660506505,2,0,0,1,1.3333333333333333,32.116035678882795,9.0,0.0166666666666666,230.07954545454547,9.692500000000004,7.8,0,0.0,0
H7BTBTTF78G0,P1,58,18.924024640657084,0,0,0,0,3.4444444444444446,68.13677059012713,9.0,0.2,0.0,0.0,0.0,0,0.0,0
WMER5Y9MV6KQ,P1,86,25.530458590006845,2,0,0,1,3.6666666666666665,147.75250681293898,9.0,-0.0333333333333333,149.88885714285715,4.44375,2.82,0,0.0,0
DQONIR591O23,P1,62,2.0342231348391517,0,0,0,0,4.0,103.0776406404415,1.0,0.0,0.0,0.0,0.0,0,0.0,0
PHLS01PHJT1E,P1,53,3.583846680355921,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
M18K2ZDFYSGD,P1,61,1.2402464065708418,0,0,0,0,9.333333333333334,141.0904671422436,9.0,0.0833333333333333,0.0,0.0,0.0,0,0.0,0
ZRA70HJN7GS4,P1,40,9.221081451060916,4,1,0,1,52.888888888888886,377.9885536858366,9.0,-3.066666666666667,-7058.541214285714,14.86633333333331,-154445.62,1,1.0,0
LCKHZUNADOK8,P1,59,9.333333333333334,3,1,0,1,32.55555555555556,128.64545517523518,9.0,1.4833333333333334,2553.6388363636365,-53.41150000000002,-2354.52,0,0.0,0
49RAFLNZLTV4,P1,79,26.746064339493497,2,0,0,1,3.7777777777777777,279.7074845845572,9.0,-0.25,2052.573888888889,32.51616666666669,1505.74,0,0.0,0
AYPVI60L6ZEV,P1,55,28.136892539356605,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
H2DH4T3XUT4B,P1,57,0.5475701574264202,2,0,1,0,3.0,11867.06345652444,3.0,1.153846153846154,14395.993157894736,-853.8635714285714,0.0,1,1.0,0
5BV3B5T1W368,P1,25,6.7268993839835725,3,0,0,0,31.444444444444443,155.5283682383142,9.0,2.8,220.65711229946524,51.217333333333336,-0.62,1,2.0,0
OAEA19T4LQWW,P1,48,18.924024640657084,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
80X93M5PMSGA,P1,65,26.767967145790557,8,1,1,1,2.2222222222222223,23.419156413185835,9.0,0.15,465.5970833333333,16.098166666666668,0.0,0,0.0,0
W673WR3KKYAW,P1,61,16.733744010951405,5,1,0,1,6.333333333333333,110.45137864910843,9.0,-0.0666666666666666,-0.2407142857142842,0.2075833333333333,-460.31,1,1.0,0
677X2E7M6MPG,P1,69,26.77344284736482,2,0,0,1,8.666666666666666,239.947705613232,9.0,0.5333333333333333,962.3832291666666,-184.2085833333333,13.06,0,0.0,0
O6N7I138M6IY,P1,91,13.426420260095824,4,0,0,0,2.555555555555556,136.98257825236038,9.0,-0.0833333333333333,60.21675675675676,-3.596333333333333,-1.57,0,0.0,0
P4BA2RD7KO5Q,P1,56,17.916495550992472,3,1,0,0,32.0,90.73233157155563,9.0,0.6666666666666666,1406.597130044843,9.566750000000017,1009.99,0,0.0,0
STWO23TTRR19,P1,77,25.530458590006845,3,0,0,1,15.0,96.6128505487512,9.0,2.083333333333333,890.5480816326531,-19.738916666666668,226.49,1,4.0,0
ETDZZ8EW9HNX,P1,68,9.27583846680356,2,0,0,1,15.88888888888889,102.67251779215488,9.0,0.4666666666666667,225.89661654135335,17.223499999999998,1.22,0,0.0,0
3HELG6U8ZYA5,P1,43,15.143052703627651,2,0,0,0,1.4285714285714286,0.71569779469643,7.0,0.0983606557377049,-18.519166666666663,-3.3221666666666665,-33.28,0,0.0,0
SEIO8729XW9T,P1,61,18.924024640657084,0,0,0,0,1.4,118.00546593474468,5.0,0.0844155844155844,0.0,0.0,0.0,1,2.0,0
YVC9IT62YUTL,P1,58,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
HV90B9VG0XUY,P1,66,7.62217659137577,4,0,0,1,13.666666666666666,132.9993017420309,9.0,1.2,-678.0634693877552,6.488333333333334,-903.51,1,9.0,0
6LYJ0OMQ06TR,P1,29,17.059548254620122,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
RUZRCP6ABLH1,P1,29,4.421629021218344,0,0,0,0,6.0,49.15474044460108,9.0,0.1666666666666666,0.0,0.0,0.0,0,0.0,0
U7FIOF3R6TQM,P1,63,8.10403832991102,0,0,0,0,1.75,331.1591688656824,4.0,-0.5,0.0,0.0,0.0,0,0.0,0
I64YC4SP5HMA,P1,71,12.881587953456537,2,0,0,1,3.555555555555556,269.608660379284,9.0,-0.5,128.2576923076923,2.1853333333333333,0.3,1,1.0,0
T4F14HJ9HYSF,P1,33,17.420944558521562,5,1,0,1,35.666666666666664,203.11410520258045,9.0,0.55,-770.8110162601627,-0.7984999999999975,-3879.51,0,0.0,0
M5D94MKDU70X,P1,73,9.352498288843258,4,0,0,1,17.555555555555557,1512.961513599418,9.0,0.3,3517.250675675676,527.9489166666666,-4866.44,1,6.0,0
B6TZVU8OXIZU,P1,23,5.752224503764545,2,0,0,1,12.333333333333334,772.7945226828513,9.0,-0.5833333333333334,5225.149925373135,-1429.164,1.33,0,0.0,0
IEDPJ34XZL76,P1,50,12.895277207392198,4,0,0,1,11.77777777777778,230.9777972629332,9.0,-2.0,58.19723076923077,-1.4008333333333334,-5.81,1,2.0,0
9WCKK8UCLZ0F,P1,62,7.457905544147844,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
A8WIR6EIFWWI,P1,33,7.433264887063655,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
IHZAN70VP6AR,P1,56,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
R4PTAYK9HZTE,P1,59,15.175906913073238,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
L1FGMK2OKA8N,P1,69,11.770020533880905,0,0,0,0,7.777777777777778,17.217037426435226,9.0,-0.8166666666666667,0.0,0.0,0.0,0,0.0,0
0HYX2B03G823,P1,52,9.371663244353185,13,1,0,1,43.11111111111112,317.0534209139341,9.0,1.9333333333333331,-3279.12780141844,293.25925,-23207.4,0,0.0,0
EAJ5W421A5IS,P1,20,9.158110882956878,1,0,0,0,45.11111111111112,52.549137244547225,9.0,7.150000000000001,230.25113402061857,18.699,1.21,0,0.0,0
HVY9PABE17XS,P1,47,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
OF1N6MSW7DTY,P1,46,18.924024640657084,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
5QOXQ5D26MUY,P1,86,25.281314168377826,2,0,0,1,4.222222222222222,136.66388539112717,9.0,0.0833333333333333,329.4855737704918,-51.26958333333334,9.59,0,0.0,0
R7GPSWZOT1NQ,P1,72,6.757015742642026,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
9S5U2LV80JPP,P1,59,18.924024640657084,0,0,0,0,6.555555555555555,69.2801995094399,9.0,-0.7,0.0,0.0,0.0,0,0.0,0
YA5MTRIYKI4H,P1,89,25.796030116358654,9,0,1,1,3.555555555555556,26936.873152076965,9.0,0.2166666666666666,25633.415070422536,-2033.0206666666663,0.0,0,0.0,0
15OIW5WF4FUU,P1,77,28.021902806297057,4,0,0,0,2.333333333333333,91.49398199569504,9.0,-0.05,110.61636363636364,23.5555,0.01,0,0.0,0
8C25CD56QBWT,P1,72,12.046543463381246,0,0,0,0,2.4,8.306885926018174,5.0,-0.1,0.0,0.0,0.0,0,0.0,0
2EPSI245XXTK,P1,65,28.27104722792608,3,0,0,0,2.5,69.0068584031085,6.0,-0.4785992217898832,129.93333333333334,-38.94008333333333,-1.57,0,0.0,0
196B6MX8BSJR,P1,17,9.259411362080767,2,0,0,0,0.0,0.0,0.0,0.0,1.27,0.0,1.27,0,0.0,0
FU1QHUFHGCBW,P1,36,5.577002053388091,0,0,0,0,3.75,64.66805572865275,8.0,-0.3333333333333333,0.0,0.0,0.0,0,0.0,0
S4TV59NGM8BP,P1,32,4.813141683778234,2,0,0,0,1.8571428571428568,5.8035930515235385,7.0,-0.1217105263157894,-8.260689655172413,-0.8486666666666666,-17.14,0,0.0,0
PHZGUVCH60B9,P1,57,27.082819986310746,0,0,0,0,3.75,198.45198561399664,8.0,-0.2505307855626327,0.0,0.0,0.0,0,0.0,0
YUWJS9O65U6D,P1,82,9.42094455852156,2,0,0,1,5.444444444444445,149.13816056935326,9.0,0.0,124.07524590163936,15.345833333333331,0.4,0,0.0,0
N1207ZAIZGHJ,P1,77,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
DLMPTTTCO7VV,P1,20,2.6666666666666665,2,0,0,0,1.375,87.13414387650175,8.0,-0.1578947368421052,31.880384615384614,-0.3587499999999999,0.09,0,0.0,0
URJ91PST8DF7,P1,61,9.522245037645447,3,0,1,1,3.333333333333333,1481.8847002676937,9.0,1.4802973661668754e-17,32257.229019607843,-846.2141666666671,5459.45,0,0.0,0
KSWM7QD25DRD,P1,50,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3JROHU2DNQXY,P1,39,9.352498288843258,5,1,0,1,51.0,518.6373047171923,9.0,1.2833333333333334,-2132.64549132948,-80.41033333333334,-66043.32,0,0.0,0
6I37ADUHDLWC,P1,54,1.749486652977413,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
47XBSOLU4XRJ,P1,52,0.9911019849418208,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
BZOB94DRHNFW,P1,50,22.858316221765914,2,0,0,0,2.555555555555556,74.00817413725619,9.0,-0.0833333333333333,3349.6084615384616,173.7721666666667,2625.93,0,0.0,0
PKCIU1HUN1RQ,P1,49,9.612594113620808,4,0,0,1,3.888888888888889,173.13046813255696,9.0,0.0,262.3116417910448,26.18416666666667,0.0,0,0.0,0
5595F4BECQ5B,P1,51,0.4818617385352498,0,0,0,0,2.0,15556.349186104046,1.0,0.0,13200.0,-11000.0,0.0,0,0.0,0
RHH2XCLXQ7TL,P1,69,5.210130047912389,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ORCNCTLSJU79,P1,49,18.924024640657084,0,0,0,0,4.0,29.203342025937214,8.0,-0.2547770700636942,0.0,0.0,0.0,0,0.0,0
1Q24QV16FNQA,P1,79,9.56331279945243,2,0,0,1,3.2222222222222223,147.69687007699883,9.0,0.3,3654.9658536585366,298.49275000000006,2219.88,0,0.0,0
ZPNQ54KFQ6X3,P1,72,25.46748802190281,5,0,0,1,3.2222222222222223,566.6167460609938,9.0,0.0166666666666666,13614.854202898552,-199.91733333333332,551.57,0,0.0,0
1BICBQP8KJUR,P1,53,18.924024640657084,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
BOOEDQNTCPDM,P1,75,1.9356605065023955,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
XEBEY6Y2SXYX,P1,66,17.533196440793976,3,1,0,1,35.55555555555556,104.5211881436863,9.0,0.55,764.4433472803347,-20.40016666666666,-1296.53,0,0.0,0
KGXEF31GR5O3,P1,72,7.419575633127994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
T7TQQA50KV19,P1,89,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
6CSLXPRFGRB3,P1,63,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
RBUYYO5COGHD,P1,71,24.20807665982204,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
NXSU8R8ZHRRV,P1,90,15.737166324435318,4,0,1,0,2.0,382.6877921311967,8.0,-0.0476190476190476,4330.422790697675,1.4148333333333312,2831.49,0,0.0,0
MZHV8X0YMJPJ,P1,71,18.924024640657084,0,0,0,0,2.0,11.74518229500322,4.0,-0.0476190476190476,0.0,0.0,0.0,0,0.0,0
T0BX3V7PUWCU,P1,78,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
IB7VK55DR9VA,P1,69,22.50239561943874,2,0,0,1,2.5,251.68105021404,8.0,0.0,7627.496000000001,265.9568333333333,5793.25,0,0.0,0
UPFKFW30Q0WT,P1,94,17.730321697467488,2,0,0,0,0.0,0.0,0.0,0.0,1092.584,0.0174166666666868,1092.54,0,0.0,0
N70GWMBQCW89,P1,74,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
D41JS2ETBN84,P1,73,9.30321697467488,2,0,1,0,1.0,0.0054772255750516,5.0,0.0,3373.4,0.0761666666666618,0.0,0,0.0,0
41OQJQUQVNRQ,P1,65,18.924024640657084,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
X4EAFWJYHMA0,P1,65,26.75427789185489,1,1,0,0,1.1666666666666667,39.39695963613726,6.0,0.054054054054054,-4386.574285714286,80.1319166666667,-4801.54,0,0.0,0
PE8OMPRDNYPE,P1,30,5.979466119096509,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Y0VDVNCSPR2H,P1,58,12.569472963723475,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
KH2WF81ANXAB,P1,54,16.147843942505133,2,0,0,1,30.666666666666668,163.24219323859805,9.0,0.2499999999999999,28634.249902439024,-949.0664999999998,25695.72,1,1.0,0
PYPEHN5FFJ0D,P1,73,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
236I57EIWWP9,P1,62,6.1711156741957565,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
5SQLAFDH0OG6,P1,85,25.530458590006845,2,0,0,1,22.666666666666668,130.6362677761264,9.0,-1.0666666666666669,739.6851792828686,49.80550000000001,0.0,0,0.0,0
L205E4PPHXNO,P1,72,8.109514031485284,0,0,0,0,3.0,31.670387325281222,1.0,0.0,0.0,0.0,0.0,0,0.0,0
S0C7PEFGKKZR,P1,73,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ZOL3726636D1,P1,68,12.071184120465434,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
