IDENTIFIKATOR_KLIJENTA,period,dob,tenure_years,n_products,has_kredit,prima_placu,avg_txn_per_month,avg_txn_amount,txn_trend,avg_balance,balance_trend,has_contact,n_contacts,churned
B22GHZZT9TAD,P1,41,8.2984257357974,2,0,0,,,,0.78,0.0,0,,0
HPRJ55KX6A3I,P1,85,25.426420260095824,1,0,1,1.8888888888888888,97.6770588235294,0.16666666666666663,1303.8672727272728,235.84833333333333,0,,0
SZLV5Y1YDAJB,P1,57,18.0041067761807,2,0,0,3.7777777777777777,24.238235294117647,0.0,31.393500000000003,-2.6784166666666667,0,,0
5B0TEKL1OXRA,P1,79,18.751540041067763,5,0,0,4.25,323.46352941176474,-0.2072072072072072,5037.206891891892,124.73958333333336,0,,0
QED3EG3EIA25,P1,59,5.130732375085558,8,1,0,25.666666666666668,43.592727272727274,-0.9666666666666669,-230.80809210526317,85.64533333333334,0,,0
EXQBCFC09EPB,P1,79,12.837782340862423,2,0,0,3.5,29406.66714285714,-0.3333333333333333,22253.63590909091,-3579.7910833333326,0,,0
2W7U7ZMPC8PH,P1,50,1.8179329226557153,1,0,0,,,,,,0,,0
76JZQWDNJEYQ,P1,36,9.17180013689254,9,1,1,46.111111111111114,45.16771084337349,-0.6,-987.5093630573248,-3.772500000000002,1,1.0,0
KXKT75E5L9XO,P1,40,9.431895961670088,4,0,1,17.88888888888889,95.13,-1.1666666666666667,10076.712685714285,-720.3115000000001,0,,0
RRJARNNXVT60,P1,58,7.162217659137577,2,0,0,3.3333333333333335,136.853,0.016666666666666666,,,0,,0
13XNZEIYVG3O,P1,37,4.4435318275154,1,0,0,1.0,300.0,0.0,,,0,,0
WY4AK50U3Z9F,P1,51,0.8213552361396304,1,0,0,,,,,,0,,0
ZV3A79H8VNKR,P1,30,9.505817932922655,7,1,1,18.555555555555557,200.74574850299402,1.2166666666666666,-267.80526315789473,15.300916666666668,1,2.0,0
9HOQR65GPH4G,P1,54,28.709103353867214,2,0,0,,,,0.505,0.0,0,,0
OCQCQSWVFVJG,P1,63,13.503080082135524,1,0,0,1.0,0.21,0.0,42.072,0.028500000000000015,0,,0
93SHDX5S7KZW,P1,38,7.704312114989733,1,0,0,,,,,,0,,0
VKYJONSI8RA2,P1,55,18.924024640657084,1,0,0,1.5,178.57777777777778,0.08108108108108107,,,0,,0
LX0UBAJPZWE6,P1,62,14.584531143052704,1,0,0,2.2222222222222223,341.5,0.0,,,0,,0
KW3YBCKGN2N9,P1,49,5.771389459274469,1,0,0,1.375,154.54545454545453,-0.02252252252252252,,,0,,0
KT21YPQI8IU5,P1,43,30.324435318275153,1,0,0,2.0,365.88625,0.0,,,0,,0
YDCOV5JLDQ58,P1,61,1.8781656399726214,1,0,0,,,,,,0,,0
X3OGVS305RXP,P1,76,16.522929500342233,1,0,0,3.0,7863.283333333333,0.0,5190.197222222222,-975.4385833333332,0,,0
8H226YPWJLI2,P1,44,18.924024640657084,1,0,0,2.125,255.14294117647054,-0.20270270270270271,,,0,,0
BFHZ0S75RDZ4,P1,8,7.676933607118412,3,0,0,3.0,4676.7266666666665,0.31578947368421056,4871.840344827586,-434.4285,0,,0
HLIU1IBTX1BE,P1,57,12.867898699520875,1,0,0,1.0,168.33333333333334,0.0,,,0,,0
3BLP43GGJTPB,P1,29,5.7850787132101305,4,0,0,3.0,55.40481481481482,-0.35,118.27588235294118,-15.931333333333333,0,,0
8NNMDSC780VW,P1,42,7.312799452429843,1,0,0,,,,,,0,,0
HEPLFEMG04TY,P1,55,19.140314852840522,8,0,1,36.44444444444444,82.2766768292683,-0.9166666666666666,5420.720451612903,-331.5180833333333,1,2.0,0
BAGVNK460FBU,P1,69,1.8699520876112252,1,0,0,,,,,,0,,0
6LODJGN32KL5,P1,72,28.34223134839151,1,0,0,3.375,24.541851851851852,0.10714285714285714,,,0,,0
P04WF4QANS2O,P1,61,0.8213552361396304,1,0,0,,,,,,0,,0
8K45Q4PMPPPD,P1,45,18.924024640657084,2,0,0,,,,,,0,,0
Y07D3ED2HJW7,P1,36,7.433264887063655,1,0,0,,,,,,0,,0
6SX7YU55WPQD,P1,76,3.671457905544148,1,0,0,,,,,,0,,0
K5GDA3PP5TY0,P1,68,2.0643394934976045,1,0,0,1.5,62.23,0.5,,,0,,0
ZM0NGJI0SMKM,P1,32,7.8904859685147155,11,1,0,8.0,119.72222222222223,0.08333333333333333,-3658.24848,302.98024999999996,0,,0
0AT72RE786BP,P1,51,9.623545516769337,10,1,1,65.66666666666667,55.74011844331642,-0.3,-404.8502784222738,4.330916666666665,1,2.0,0
XGLSGDMGU77U,P1,55,7.200547570157426,1,0,0,,,,,,0,,0
XJ4DJSYQHBQD,P1,73,13.089664613278575,2,0,0,2.888888888888889,170.5246153846154,-0.15000000000000002,,,0,,0
RUUHGYFYMLOS,P1,33,7.964407939767283,3,0,0,6.0,38.138888888888886,0.35,283.5856,0.4435000000000021,0,,0
NGE3NISQVNZP,P1,31,15.063655030800822,1,0,0,,,,,,0,,0
ASKE2TSYJWTS,P1,54,18.924024640657084,1,0,0,3.0,64.03222222222222,-0.46153846153846156,,,0,,0
ROHL0DWA4GXJ,P1,46,15.956194387405887,2,0,0,2.5,6180.22,-1.0,5271.289565217391,21.902500000000146,0,,0
IY7M44URPRS4,P1,55,8.186173853524982,1,0,0,,,,,,0,,0
PP0EG7HQT2Z5,P1,63,17.516769336071185,1,0,0,1.0,0.56,0.0,0.44800000000000006,-0.051333333333333335,0,,0
99ZT1YDP6EYF,P1,73,19.83299110198494,3,0,1,6.888888888888889,92.83193548387096,-0.4666666666666667,5226.71081632653,286.87566666666675,0,,0
JCTBXPM5ZJJW,P1,50,18.924024640657084,1,0,0,1.75,206.905,0.23809523809523808,,,0,,0
85MIIRW1B2NE,P1,73,17.67008898015058,1,0,0,,,,,,0,,0
JA4Q4KBGQHB3,P1,72,18.924024640657084,1,0,0,14.555555555555555,34.41984732824427,-0.2833333333333333,,,0,,0
M5CI86LOQB2K,P1,86,21.793292265571527,2,0,1,1.8571428571428572,1143.0907692307692,-0.13405797101449274,6396.632129032258,153.9285833333333,0,,0
SXTBVE6V2PWK,P1,44,8.27378507871321,1,0,0,4.0,14.187083333333334,0.37333333333333335,,,0,,0
5RY5DJCQWBM0,P1,63,20.750171115674195,2,0,1,3.111111111111111,943.4682142857143,-0.15,3128.30847826087,1192.8866666666665,0,,0
IVS117P98OCO,P1,52,11.534565366187543,3,0,0,,,,,,0,,0
THJSVTYU6BML,P1,78,18.924024640657084,1,0,0,,,,,,0,,0
27E7XD8HDOZ0,P1,53,18.924024640657084,1,0,0,2.0,202.4,0.0,,,0,,0
F6WU0HU9T0ZL,P1,71,15.827515400410677,1,0,0,,,,,,0,,0
UQ6LLC0AVANS,P1,74,18.924024640657084,1,0,0,,,,,,0,,0
RUBSZTMJL82R,P1,84,30.803559206023273,3,0,0,3.2222222222222223,473.34965517241375,0.0,17494.58395348837,260.39183333333335,0,,0
FN194E5IG66H,P1,65,10.880219028062971,14,1,1,30.22222222222222,83.86389705882353,-1.1166666666666667,-202.70146258503402,49.424416666666666,0,,0
X56JMOQI5WY9,P1,64,18.924024640657084,1,0,0,,,,,,0,,0
4DDGKEKR9C9L,P1,38,5.711156741957564,1,0,0,,,,,,0,,0
WQL7S6XYLSH7,P1,65,16.958247775496236,2,0,1,54.111111111111114,9.229958932238192,0.35,167.81123222748815,5.402500000000002,0,,0
9BRRV30OPIV5,P1,49,29.295003422313485,3,0,1,21.22222222222222,243.93219895287956,-0.9333333333333333,9785.20261627907,940.6088333333335,0,,0
EHQTT47GX2LM,P1,41,16.577686516084874,1,0,0,,,,,,0,,0
J42NXEFYIJUW,P1,44,11.592060232717317,1,0,0,1.3333333333333333,134.16666666666666,0.05000000000000002,,,0,,0
4ITSJ8QA3XRN,P1,81,18.924024640657084,2,0,0,3.25,173.76461538461538,0.5664160401002506,,,0,,0
KL9XCQFW23MS,P1,75,18.924024640657084,1,0,0,3.0,139.9448148148148,0.2,,,0,,0
RNFSHQ1YVUAZ,P1,64,7.258042436687201,1,0,0,,,,,,0,,0
3FFVEZZA5KQJ,P1,51,9.74674880219028,1,0,0,,,,0.9700000000000001,0.0,0,,0
RSM5P03O87I9,P1,64,26.798083504449007,6,1,1,12.88888888888889,648.7663793103447,-0.11666666666666667,1142.597388535032,48.156250000000014,1,1.0,0
B9O9GC8E3PS0,P1,65,26.77344284736482,2,0,1,1.5555555555555556,33.20214285714285,0.05,162.40735294117647,20.531166666666664,0,,0
DE2BYCS4IGWD,P1,63,-0.5639972621492129,2,0,0,,,,,,0,,0
4YM55SQHWUUM,P1,55,18.924024640657084,1,0,0,2.888888888888889,46.42346153846154,0.13333333333333333,,,0,,0
MZHV8X0YMJPJ,P1,71,18.924024640657084,1,0,0,2.0,20.3325,-0.047619047619047616,,,0,,0
QYRY7EGV494A,P1,49,18.924024640657084,1,0,0,15.222222222222221,54.30408759124087,0.21666666666666667,,,0,,0
XDT8PPTM5VXB,P1,68,29.169062286105408,4,0,1,12.444444444444445,204.12562499999999,-0.8666666666666666,247.23329411764703,-28.602666666666668,0,,0
1DPBPZTJW3UV,P1,58,18.924024640657084,1,0,0,,,,,,0,,0
KROUO467S1EZ,P1,76,28.648870636550306,4,0,0,15.0,90.17800000000001,1.9333333333333333,650.938,22.383666666666674,0,,0
SH67N87JCNX0,P1,69,9.390828199863108,2,0,0,6.0,48900.13,0.0,24700.047916666666,558.3471666666665,0,,0
VQSTP8LC5PRZ,P1,37,15.104722792607802,1,0,0,3.0,203.57933333333332,-0.5,,,0,,0
S1V86G3UU518,P1,90,25.349760438056126,3,0,1,5.777777777777778,140.40211538461537,-0.21666666666666667,2546.259772727273,-16.68266666666666,0,,0
5LBPK0Y1QSC7,P1,95,11.07460643394935,2,0,0,3.5714285714285716,227.2944,-0.39041095890410965,1551.358695652174,-392.9775833333333,0,,0
TR7CJZ7K5CM3,P1,21,9.593429158110883,2,0,0,1.5714285714285714,0.8663636363636363,-0.17391304347826086,1439.4040740740743,-1.8778333333333308,0,,0
L09A3M1W0R76,P1,83,18.924024640657084,2,0,0,,,,,,0,,0
6JGEVKJLZ1VM,P1,75,18.924024640657084,1,0,0,,,,,,0,,0
7R56NGFPFFSH,P1,86,1.2292950034223136,3,0,1,3.2222222222222223,158.93103448275863,0.03333333333333333,933.7385714285714,30.542666666666662,0,,0
PXH6ZXZQHDWB,P1,56,8.895277207392198,1,0,0,,,,,,0,,0
E1KEAK1HQ10P,P1,63,9.27583846680356,2,0,1,1.25,5.14,-0.060240963855421686,0.10869565217391312,-0.11133333333333327,0,,0
916L6UABO4JR,P1,56,25.218343600273784,2,0,1,11.0,34.75272727272727,0.26666666666666666,24526.24609375,-621.7144166666665,0,,0
DNR35W2H7F09,P1,83,15.195071868583161,2,0,0,1.1666666666666667,3013.4085714285716,-0.057142857142857134,18436.490909090906,612.0224166666667,0,,0
T0HN6LYV1MI5,P1,83,0.8158795345653662,1,0,0,,,,,,0,,0
5XDXS0OBFJC7,P1,73,15.0362765229295,1,0,0,5.0,4574.358,0.0,5026.417272727273,-1650.0,0,,0
5CX95MPPRWRF,P1,48,7.430527036276523,1,0,0,,,,,,0,,0
GS8IYZ0LDKNB,P1,71,10.113620807665983,3,0,0,1.0,9649.405,0.0,10239.224333333334,3053.1644166666665,0,,0
A03QG06Q92OW,P1,82,18.924024640657084,1,0,0,,,,,,0,,0
7XW4DDASPH2Q,P1,65,3.7508555783709787,6,1,0,99.55555555555556,11.394933035714287,3.3,107.51095890410959,-14.904750000000002,0,,0
XKEQ0EZGQBXU,P1,56,8.837782340862423,3,0,1,7.111111111111111,295.66609375,0.08333333333333333,19772.070985915492,862.1642499999999,0,,0
YLTX7HF5DD64,P1,72,18.924024640657084,1,0,0,2.6666666666666665,38.31375,-0.7142857142857143,,,0,,0
GCVTOQ0EW758,P1,60,1.2594113620807665,1,0,0,,,,,,0,,0
UYTZVEGY6TJN,P1,34,4.48186173853525,1,0,0,,,,,,0,,0
ZCPGR58VJR03,P1,71,9.442847364818617,2,0,1,2.625,291.69190476190477,0.05952380952380952,13896.30457142857,350.1847500000001,0,,0
3UT4CAMUH5T9,P1,69,18.924024640657084,1,0,0,,,,,,0,,0
TD0JVXG5YCNL,P1,39,4.446269678302532,1,0,0,,,,,,0,,0
0XE94TQILVEG,P1,55,18.924024640657084,1,0,0,,,,,,0,,0
DZDUWAG8607O,P1,59,16.424366872005475,1,0,0,5.0,1777.2554285714286,-0.1804123711340206,3143.9084374999998,-81.20149999999997,0,,0
7BNPSH6URGZT,P1,67,25.371663244353183,5,1,1,30.666666666666668,44.43159420289855,-4.0,-1238.964669603524,-14.303583333333346,0,,0
BEDXZJ59A7BL,P1,49,4.331279945242985,2,0,0,9.428571428571429,65.75484848484848,-0.7857142857142857,,,0,,0
KMRNRIOLKORZ,P1,75,28.843258042436688,2,0,1,3.6666666666666665,157.50818181818184,-0.16666666666666666,10025.425918367348,-12.775666666666712,0,,0
FRE8360TLBLS,P1,62,18.924024640657084,1,0,0,3.2222222222222223,134.43068965517242,0.06666666666666667,,,0,,0
31CP4174JQ1K,P1,42,9.618069815195073,5,0,0,,,,0.88,0.0,0,,0
LR2VKNA6DZ8C,P1,73,21.456536618754278,1,0,0,,,,,,0,,0
JJDW5C20HI4O,P1,60,13.492128678986996,1,0,0,1.7142857142857142,116.66666666666667,-0.17857142857142858,,,0,,0
QCL2S942DH8D,P1,80,24.369609856262834,3,0,1,3.6666666666666665,107.05454545454546,-0.13333333333333333,550.1592499999999,77.43525,0,,0
AZ7N1DL1776D,P1,42,1.7494866529774127,1,0,0,,,,,,0,,0
DSJ076EG173R,P1,85,29.240246406570844,4,0,1,5.888888888888889,230.9367924528302,-0.31666666666666665,1714.87375,136.54483333333334,0,,0
BR83YHOO4K53,P1,67,26.77344284736482,2,0,0,,,,0.44,0.0,0,,0
ZHS1QXS7QFRJ,P1,56,9.650924024640657,11,1,1,31.11111111111111,85.90242857142857,0.2,-694.0645692883895,101.13491666666667,1,1.0,0
5OUWZR6OHEBD,P1,44,9.650924024640657,1,0,0,,,,1.61,0.0,0,,0
JPBRQH5EW076,P1,82,18.04791238877481,4,0,0,2.625,286.1695238095238,-0.12280701754385964,353.7555,16.872666666666664,0,,0
1F1MF04GZVTP,P1,66,18.989733059548254,5,0,1,23.22222222222222,93.7877033492823,-0.3333333333333333,2003.6973563218392,640.391,0,,0
TOPLU2G1RP5D,P1,58,17.730321697467488,6,1,1,22.555555555555557,269.09029556650245,0.7,732.6717488789237,-214.08975000000004,0,,0
3ZSSW69JZC2D,P1,69,29.149897330595483,1,0,0,1.4444444444444444,226.92307692307693,0.08333333333333333,,,0,,0
7VXL1OV99VTT,P1,66,9.793292265571527,7,1,0,2.6666666666666665,180.86083333333332,0.06666666666666667,-460.49243243243245,-15.1745,0,,0
7EH7NRNX6DPE,P1,76,25.77138945927447,3,0,1,3.0,432.96814814814815,0.31666666666666665,24281.807272727274,801.2613333333333,1,1.0,0
AOLCQX2CKDCY,P1,50,17.623545516769337,1,0,0,,,,,,0,,0
RG0I82YLVGVO,P1,78,6.102669404517454,1,0,0,,,,,,0,,0
AUFTBPCVRX8M,P1,60,2.0479123887748116,1,0,0,4.571428571428571,51.9240625,-0.5364583333333334,,,1,2.0,0
CJZO83DX5OJ9,P1,52,9.141683778234086,7,1,1,32.111111111111114,297.4977508650519,-0.25,-5270.250381355932,-6.065166666666667,0,,0
1V65AU2DG071,P1,84,17.152635181382614,7,1,1,9.11111111111111,83.4819512195122,-0.5333333333333333,40.553000000000004,0.32683333333333164,0,,0
KCPQ59TRTPCR,P1,77,9.286789869952088,2,0,1,4.666666666666667,139.21571428571428,-0.21666666666666667,8670.219000000001,213.76799999999997,0,,0
IWME5RQZADIF,P1,59,8.903490759753593,1,0,0,1.6666666666666667,482.0,-0.07692307692307693,,,0,,0
PIWMV3DALXDA,P1,76,18.924024640657084,1,0,0,,,,,,0,,0
MYALBC78H4J8,P1,50,1.8206707734428473,1,0,0,,,,,,0,,0
WLF1TWYFH3CD,P1,53,9.182751540041068,7,1,1,7.0,340.3938095238095,-0.25,9604.58,839.4749166666667,0,,0
K902X3VK12IJ,P1,57,13.281314168377824,1,0,0,18.0,17.675864197530863,-1.55,,,0,,0
I3LQSKUBCUX5,P1,82,25.253935660506503,7,0,1,3.6666666666666665,231.59030303030303,-0.08333333333333333,690.0336206896551,-45.492833333333344,0,,0
MVKNYU3YYKLU,P1,20,9.152635181382614,2,0,0,20.0,22.912611111111115,-3.55,54.28126865671641,-9.408333333333333,0,,0
H0N78BEM0573,P1,63,26.38740588637919,3,0,0,,,,29.45555555555556,0.0,0,,0
A1ORD6VGD244,P1,54,18.924024640657084,1,0,0,,,,,,0,,0
LSC90ITRHOU1,P1,61,19.32101300479124,2,0,0,2.888888888888889,20.24076923076923,0.26666666666666666,15.19,-0.061249999999999985,0,,0
7HDHEB8C52V4,P1,71,5.916495550992471,1,0,0,,,,,,0,,0
E5X37LI2Z77R,P1,58,9.650924024640657,1,0,0,1.0,1.185,0.0,840.2683333333334,-1.9141666666666537,0,,0
GA5WLVN82R9M,P1,76,18.924024640657084,1,0,0,15.0,50.90266666666666,-0.23333333333333334,,,0,,0
8F5EIBLTBIOQ,P1,61,20.459958932238195,1,0,0,,,,23523.124,0.37366666666675885,0,,0
200R8JDX0GQI,P1,57,9.344284736481862,2,1,0,1.2,151.815,-0.018072289156626512,-1519.356,238.32366666666667,0,,0
EW0ZRV4SUNUH,P1,71,2.0479123887748116,2,0,0,1.4285714285714286,8.565999999999999,0.03571428571428572,273.39730769230766,8.698416666666667,0,,0
MO8T2SFE9P0N,P1,56,18.924024640657084,1,0,0,,,,,,0,,0
2H3X13HDJUFL,P1,56,17.853524982888434,1,0,0,1.3333333333333333,459.1666666666667,-0.18333333333333332,,,0,,0
34TPUS7XXP3Z,P1,81,18.924024640657084,1,0,0,,,,,,0,,0
M2TQMT6T75XU,P1,77,19.874058863791923,4,0,0,3.0,6842.786666666667,0.0,4778.113181818182,-2.365916666666635,0,,0
S37IJM47MPCR,P1,63,25.097878165639973,2,0,0,1.625,407.6923076923077,0.05952380952380952,,,0,,0
W7MRRVMOZNT0,P1,45,18.924024640657084,1,0,0,1.0,75.0,0.0,,,0,,0
XBKJ4BMN5RSA,P1,75,18.89664613278576,5,0,1,3.6666666666666665,231.00757575757575,-0.36666666666666664,6806.976779661017,186.55058333333332,0,,0
3BCN7PRNZ3JR,P1,91,26.746064339493497,3,0,1,6.555555555555555,225.5408474576271,0.41666666666666663,305.18296875,-50.32700000000001,0,,0
CGLZ7WXNGRF1,P1,56,25.464750171115675,5,1,0,7.888888888888889,57.208450704225356,1.25,-9912.558333333332,116.7994166666666,0,,0
PXLETJJ41FCY,P1,84,28.856947296372347,2,0,1,2.25,174.95499999999998,-0.021231422505307854,669.328905109489,9.359833333333333,0,,0
LMMAQ890BIIN,P1,79,24.720054757015742,4,0,1,7.222222222222222,520.1438461538461,0.6666666666666666,1481.8773076923076,86.22933333333332,0,,0
CTMXGCWAI6R7,P1,81,18.798083504449007,1,0,0,,,,,,0,,0
PKRTSTSB4V4Z,P1,84,25.338809034907598,2,0,1,2.2222222222222223,185.202,-0.1,235.9232258064516,-0.6043333333333323,0,,0
LKO43ZN8Z86B,P1,84,25.338809034907598,2,0,1,7.777777777777778,213.75157142857142,0.23333333333333334,2947.7004705882355,186.621,0,,0
GYGZR75HU57V,P1,64,18.924024640657084,1,0,0,1.8571428571428572,226.15384615384616,0.07514450867052024,,,0,,0
CB3QBZD5CUXZ,P1,58,13.073237508555783,1,0,0,3.6666666666666665,22.654848484848486,0.36666666666666664,,,0,,0
O22X3MOM7L9S,P1,44,14.86652977412731,1,0,0,,,,,,0,,0
ER6DQ6RACBPL,P1,63,14.921286789869953,1,0,0,7.888888888888889,71.06661971830985,0.55,,,0,,0
5JM8Q3G208XS,P1,59,18.924024640657084,1,0,0,2.0,300.0,0.0,,,0,,0
B4QLXXZY287N,P1,62,13.467488021902806,1,0,0,,,,,,0,,0
DAS8DY0221X0,P1,55,25.371663244353183,7,1,1,14.444444444444445,153.87446153846153,-0.9166666666666666,-1677.5308333333332,-0.3443333333333328,1,1.0,0
